"Marital status","Application mode","Application order","Course","Daytime/evening attendance","Previous qualification","Previous qualification grade","Nationality","Mother's qualification","Father's qualification","Admission grade","Displaced","Educational special needs","Debtor","Gender","Scholarship holder","Age at enrollment","International","Semester 1 enrolled units","Semester 1 approved units","Semester 1 grade","Semester 2 enrolled units","Semester 2 approved units","Semester 2 grade","Unemployment rate","Inflation rate","GDP","Target"
"single","General contingent","not 2nd choice","Animation and Multimedia Design","daytime","qualified",122,"Portuguese","Basic education","Basic education",127.3,"yes","no","no","Male","no",20,"no",0,0,0,0,0,0,0.108,0.014,0.0174,"Dropout"
"single","Other","2nd choice","Tourism","daytime","qualified",160,"Portuguese","Secondary education and above","Secondary education and above",142.5,"yes","no","no","Male","no",19,"no",6,6,14,6,6,13.6666666666667,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","not 2nd choice","Communication Design","daytime","qualified",122,"Portuguese","Basic education","Basic education",124.8,"yes","no","no","Male","no",19,"no",6,0,0,6,0,0,0.108,0.014,0.0174,"Dropout"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",122,"Portuguese","Basic education","Basic education",119.6,"yes","no","no","Female","no",20,"no",6,6,13.4285714285714,6,5,12.4,0.094,-0.008,-0.0312,"Graduate"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","qualified",100,"Portuguese","Basic education","Basic education",141.5,"no","no","no","Female","no",45,"no",6,5,12.3333333333333,6,6,13,0.139,-0.003,0.0079,"Graduate"
"not single","Over 23 years old","2nd choice","Management (evening attendance)","evening","underqualified",133.1,"Portuguese","Basic education","Basic education",114.8,"no","no","yes","Male","no",50,"no",5,5,11.8571428571429,5,5,11.5,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","2nd choice","Nursing","daytime","qualified",142,"Portuguese","Basic education","Basic education",128.4,"yes","no","no","Female","yes",18,"no",7,7,13.3,8,8,14.345,0.155,0.028,-0.0406,"Graduate"
"single","General contingent","not 2nd choice","Tourism","daytime","qualified",119,"Portuguese","Basic education","Basic education",113.1,"yes","no","no","Male","no",22,"no",5,0,0,5,0,0,0.155,0.028,-0.0406,"Dropout"
"single","General contingent","not 2nd choice","Social Service","daytime","qualified",137,"not Portuguese","Secondary education and above","Secondary education and above",129.3,"no","no","no","Female","yes",21,"yes",6,6,13.875,6,6,14.1428571428571,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","2nd choice","Social Service","daytime","qualified",138,"Portuguese","Secondary education and above","Basic education",123,"yes","no","yes","Female","no",18,"no",6,5,11.4,6,2,13.5,0.089,0.014,0.0351,"Dropout"
